cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
PEP,TGT,ABT,MSFT,CVX,DVN,DAL,JPM
KO,TJX,PFE,AMAT,SLB,MRO,AAL,BAC
PG,WBA,MDT,AAPL,COP,KMI,UAL,MS
PM,WMT,ABBV,INTC,HAL,WMB,UNP,C
MDLZ,CVS,JNJ,NFLX,XOM,MGM,FAST,KEY
MO,M,BSX,NVDA,CAT,HPE,IPG,SCHW
NWL,KR,GILD,ATVI,RF,DISCA,GM,HBAN
